feature,importance
tfidf_congress,0.002062568568624492
tfidf_records,0.002045587297262585
tfidf_stimulus,0.002039687237896151
tfidf_amy,0.0020076312846764176
tfidf_state,0.002002130433947139
tfidf_campaign,0.001998925968104379
tfidf_report,0.0019931253722683846
tfidf_interactive,0.001976861530666188
tfidf_passes,0.0019731622520020543
tfidf_positive,0.0019690542602339646
tfidf_south,0.0019611967425138687
tfidf_email,0.00195467199817892
tfidf_pass,0.0019497376121707223
tfidf_fears,0.0019459523168560986
tfidf_reopening,0.0019309953646665617
tfidf_rise,0.001929268853025897
tfidf_france,0.0019237316789327864
tfidf_trump biden,0.0019212139506091359
tfidf_map,0.0019142878107188004
tfidf_16,0.0019099860614223
tfidf_case,0.001904940744583117
tfidf_ng,0.0018924673575594025
tfidf_ng interactive,0.0018924673575594025
tfidf_tests,0.0018798086034072128
tfidf_updates trump,0.001879405194487539
tfidf_coronavirus pandemic,0.0018731359566537724
tfidf_million,0.0018482500824639173
tfidf_europe,0.0018463565976709435
tfidf_death toll,0.0018453482511824068
tfidf_toll,0.0018453109905490282
tfidf_australia news 2020,0.001836491163361704
tfidf_blog closed,0.001806550884216409
tfidf_late,0.0018059574027147153
tfidf_rules,0.0017954042363993183
tfidf_coronavirus cases,0.0017861540909295426
tfidf_lives,0.001771660240675574
tfidf_closed,0.001761585517505727
tfidf_day,0.0017593786992394357
tfidf_california,0.0017576662585594414
tfidf_business live,0.0017435833566496178
tfidf_unemployment,0.0017355071154715569
tfidf_daily coronavirus,0.001725289813455776
tfidf_13,0.001715262507383759
tfidf_hotspots,0.0017098314613461828
tfidf_time,0.0016977469464832776
tfidf_interactive 2020,0.0016943417443883112
tfidf_ng interactive 2020,0.0016943417443883112
tfidf_app,0.0016856065507265387
tfidf_update,0.0016731148517381245
tfidf_live 2020 jul,0.0016527596647216885
tfidf_28,0.0016474210014139916
tfidf_com politics,0.0016442794691058187
tfidf_theguardian com politics,0.0016442794691058187
tfidf_weekly,0.0016175916681041322
tfidf_schools,0.0015929187072892441
