feature,importance
tfidf_states,0.009577155620964273
tfidf_coronavirus live latest,0.009540294363616314
tfidf_apr,0.009423251120690278
tfidf_2020 apr,0.009423251120690278
tfidf_england,0.00939671167031786
tfidf_latest global updates,0.00924706132233416
tfidf_pence,0.009246774042235787
tfidf_br,0.009239987597122903
tfidf_world 2020 apr,0.009188620656119698
tfidf_amp,0.009153543536393985
tfidf_donald trump,0.009077942516283345
tfidf_donald,0.009072388405277881
tfidf_governor,0.009008954308795782
tfidf_senate,0.008973256141625937
tfidf_support,0.008943990148798788
tfidf_positive,0.008920835569472643
tfidf_impeachment,0.008866009510548787
tfidf_republican,0.00880811434995201
tfidf_reopen,0.008777543650997801
tfidf_george,0.008737537884580475
tfidf_johnson,0.008661494069657778
tfidf_latest global,0.00864729588936999
tfidf_world live 2020,0.008592969243046073
tfidf_intcmp,0.00858880412187965
tfidf_world live,0.008566671045789724
tfidf_com world live,0.008566671045789724
tfidf_coronavirus latest updates,0.008536315439686684
tfidf_claims,0.00846143559373232
tfidf_make,0.008393192246036732
tfidf_block,0.008297481736889066
tfidf_boris johnson,0.008178660907236197
tfidf_republicans,0.008178365692632897
tfidf_china,0.00810175441723441
tfidf_time,0.008078746418092279
tfidf_politics,0.008025065625346378
tfidf_boris,0.008019692309771408
tfidf_orders,0.007828205250252724
tfidf_com world 2020,0.007794026233207666
tfidf_world 2020,0.007776205852417978
tfidf_days,0.007720184858763252
tfidf_hospital,0.007659345490066138
tfidf_happened ul,0.007641415327384942
tfidf_happened ul li,0.007641415327384942
tfidf_protests,0.007627326942580515
tfidf_com info,0.007568257782665294
tfidf_com info 2018,0.007568257782665294
tfidf_theguardian com info,0.007568257782665294
tfidf_coverage,0.007552782884371914
tfidf_coverage li ul,0.007464951956550916
tfidf_latest news updates,0.007399699820101605
tfidf_plans,0.0073575227455107885
tfidf_2020 jun,0.007243753254044999
tfidf_joe,0.007222907937877591
tfidf_10,0.007213653181503901
tfidf_joe biden,0.007198313246200746
tfidf_news updates page,0.007137054592961555
tfidf_000,0.007058452647586741
tfidf_home,0.0070365586876883655
tfidf_fauci,0.007024658611733853
tfidf_jun,0.007002477322658988
tfidf_global report,0.006994207543211909
tfidf_news updates,0.0069834893001468525
tfidf_politics live,0.006978169756634381
tfidf_coronavirus live,0.006977944407960946
tfidf_coverage li,0.006856106990228228
tfidf_page,0.006835269910014703
tfidf_page block,0.006820131478393976
tfidf_27,0.006778921809299021
tfidf_uk,0.006692505482267746
tfidf_09,0.0066773397425890346
tfidf_ul li,0.006653706200921252
tfidf_li ul,0.006653706200921252
tfidf_li li sign,0.00662662465151799
tfidf_li sign,0.00662662465151799
tfidf_li sign href,0.00662662465151799
tfidf_live page,0.006553417598114943
tfidf_live page block,0.006553417598114943
tfidf_latest,0.006520155504526311
tfidf_outbreak coronavirus,0.0065046657984397255
tfidf_coronavirus outbreak coronavirus,0.006502945572638508
tfidf_outbreak coronavirus coverage,0.0064985436120401354
tfidf_latest coronavirus live,0.00646198896932417
tfidf_29,0.006461455334751988
tfidf_stay,0.006429665222773615
tfidf_russia,0.006409323995482046
tfidf_08,0.006392911754540978
tfidf_coronavirus coverage li,0.006346775967032895
tfidf_happened,0.0060742906442786924
tfidf_2020 sep,0.005954298193526938
tfidf_live updates li,0.005884017406066399
tfidf_com news series,0.005835501676595671
tfidf_2020,0.005825847042759824
tfidf_series politics,0.005823721355055746
tfidf_news series,0.005823721355055746
tfidf_series politics live,0.005823721355055746
tfidf_news series politics,0.005823721355055746
tfidf_rally,0.00582264449271575
tfidf_2020 nov,0.005788234341949996
tfidf_nov,0.005788234341949996
tfidf_face,0.005779748211770715
tfidf_debate,0.005745850870391062
tfidf_tests,0.005740338286084897
tfidf_politics live latest,0.005680321835542755
tfidf_toll,0.0056173144557653525
tfidf_amid,0.005602939226364081
tfidf_year,0.0055704724492385525
tfidf_br li,0.005563653128006046
tfidf_deaths,0.005450259521404819
tfidf_br li li,0.005434322486120912
tfidf_thing,0.005402791496282879
tfidf_jul,0.005274809101221619
tfidf_2020 jul,0.005274809101221619
tfidf_claim,0.005258208112642071
tfidf_georgia,0.005249798305588506
tfidf_trump coronavirus,0.005172425981608166
tfidf_live 2020 nov,0.005161725193871825
tfidf_live coverage,0.005155066848950955
tfidf_victoria,0.00514753733464608
tfidf_despite,0.005112162423459735
tfidf_live coverage li,0.005073925299213178
tfidf_dec,0.0050691613114990375
tfidf_2020 dec,0.0050691613114990375
tfidf_crisis,0.00504890670201239
tfidf_vaccine,0.005033651679477268
tfidf_supreme,0.004979764713757938
tfidf_kamala,0.004876386652139862
tfidf_kamala harris,0.004876386652139862
tfidf_national,0.004842670905568109
tfidf_live updates page,0.004830433076586118
tfidf_reports,0.004687121092220364
tfidf_public,0.00466233032663531
tfidf_harris,0.0046472520177081745
tfidf_05,0.0046422154332457135
tfidf_trump covid,0.004608027974904968
tfidf_event,0.004569613501236114
tfidf_updates br li,0.0045574996118445486
tfidf_death toll,0.004542629823384321
tfidf_19 live updates,0.004485101084614713
tfidf_live 2020 aug,0.004475851712215775
tfidf_congress,0.0044737972572892505
tfidf_rules,0.004445811359491548
tfidf_rise,0.004437779071815897
tfidf_obama,0.004434702847734491
tfidf_coronavirus covid,0.004404570009409779
tfidf_href,0.004398438789350928
tfidf_https,0.004395248755392845
tfidf_href https,0.00439383015130846
tfidf_administration,0.004355187218611679
tfidf_latest updates li,0.004341790207686452
tfidf_12,0.004239523347756891
tfidf_com news 2020,0.00420575095774924
tfidf_live 2020 dec,0.0041468142646005285
tfidf_day,0.004117972462403049
tfidf_surge,0.004080638051053557
tfidf_19 live,0.003985949145490664
tfidf_covid 19 live,0.003985949145490664
tfidf_href https support,0.003961156534631358
tfidf_https support theguardian,0.003961156534631358
tfidf_https support,0.003961156534631358
tfidf_support theguardian com,0.003961156534631358
tfidf_support theguardian,0.003961156534631358
tfidf_funding,0.003940956413629618
tfidf_newsletter br,0.0039238972959723395
tfidf_coronavirus updates,0.003910490772795252
tfidf_fight,0.0038704819768000712
tfidf_spread,0.003838109290345936
tfidf_live news,0.003816245834096762
tfidf_feb,0.0038086298337228486
tfidf_california,0.003749809828705594
tfidf_trump says,0.003730263464746265
tfidf_coronavirus covid 19,0.003725414737592137
tfidf_lockdown,0.003717952386874489
tfidf_state,0.003712420928254867
tfidf_12 coronavirus,0.003693604373153668
tfidf_https www,0.00368271799605017
tfidf_www,0.00368271799605017
tfidf_href https www,0.00368271799605017
tfidf_www theguardian,0.0036735067889083007
tfidf_www theguardian com,0.0036735067889083007
tfidf_https www theguardian,0.0036735067889083007
tfidf_live 2020 jul,0.003626117566510058
tfidf_joe biden donald,0.0036107837915662104
tfidf_biden donald,0.0036107837915662104
tfidf_biden donald trump,0.0036107837915662104
tfidf_people,0.003603886482145823
tfidf_updates li ul,0.003602047032629442
tfidf_numbers,0.003595610092358364
tfidf_live 2020 oct,0.0034973254007011787
tfidf_travel,0.003478489094574002
tfidf_theguardian com uk,0.0034756322758508246
tfidf_com uk,0.0034756322758508246
tfidf_trump biden,0.003474487082306125
tfidf_mike pence,0.003464529732017842
tfidf_coronavirus latest,0.003427919031687053
tfidf_don,0.0034096011145991595
tfidf_coronavirus live news,0.003327555002288848
tfidf_com,0.0033084631287070647
tfidf_live 2020,0.003295839158046438
tfidf_economy,0.003276492190206745
tfidf_theguardian com,0.0032742646783792445
tfidf_theguardian,0.0032742646783792445
tfidf_election 2020,0.0032667403848480572
tfidf_fears,0.003258017545483066
tfidf_staff,0.003250961536101633
tfidf_presidential,0.0032207558263784904
tfidf_business,0.0032052241553311954
tfidf_tests positive,0.0031985424189574395
tfidf_mike,0.003144517320391087
tfidf_supreme court,0.003129949881910787
tfidf_trump joe biden,0.003115934009820343
tfidf_trump joe,0.003115934009820343
tfidf_coronavirus pandemic,0.003092647687861729
tfidf_updates coronavirus,0.0030703926997389846
tfidf_donald trump joe,0.0030580563746115657
tfidf_follow,0.0030390119205624903
tfidf_06,0.002999354943259609
tfidf_risk,0.0029982555865045732
tfidf_news,0.0029939431798614866
tfidf_americans,0.0029748251792735187
tfidf_hydroxychloroquine,0.0029712492688887663
tfidf_secretary,0.002962443321903914
tfidf_politics live coverage,0.0029594273557942796
tfidf_democratic,0.0029552474018622456
tfidf_15,0.0029479988746606085
tfidf_vote,0.0029324959709790487
tfidf_officials,0.00292302169780949
tfidf_case,0.002920167206390943
tfidf_blog,0.0029154632075040323
tfidf_blog closed,0.00290731140699356
tfidf_biden election,0.0028788746163618036
tfidf_country,0.00287800423561011
tfidf_live news trump,0.002858782087901156
tfidf_pass,0.0028582901476289727
tfidf_news trump,0.00278344397760854
tfidf_restrictions,0.002760163935652701
tfidf_live 2020 sep,0.002731738503603018
tfidf_br li ul,0.0027037702363595178
tfidf_chief,0.0026684097630001414
tfidf_records,0.002642021949648913
tfidf_ftse,0.00260264647725799
tfidf_amy,0.0025854345917113207
tfidf_barrett,0.0025401158206521126
tfidf_live li,0.002526212496378016
tfidf_relief,0.0025084701210931148
tfidf_mask,0.0025075050485737892
tfidf_28,0.002485830072596976
tfidf_07,0.00247727706407941
tfidf_schools,0.002473733491634777
tfidf_masks,0.0024692353167608417
tfidf_infections,0.002467019250076193
tfidf_court,0.0024629005060389534
tfidf_warns,0.0024544369719865155
tfidf_closed,0.002446583529978463
tfidf_04,0.0024174151146123834
tfidf_said,0.002311030134942097
tfidf_updates page block,0.002293447665030298
tfidf_updates page,0.002293447665030298
tfidf_leaders,0.002293013764518371
tfidf_coney,0.002283172447391954
tfidf_amy coney barrett,0.002283172447391954
tfidf_coney barrett,0.002283172447391954
